shopper_ID,county,group,event,event date
27762245,Alameda,T,background check,9/17/19
77983104,Santa Clara,T,background check,10/10/19
84259651,Marin,C,card issued,11/10/19
74340924,Alameda,T,orientation,10/3/19
82925424,Marin,C,first delivery complete,10/9/19
51897168,Alameda,C,background check,9/18/19
18078817,Alameda,C,background check,8/30/19
93753206,Marin,T,first delivery complete,11/5/19
18869122,Santa Clara,C,orientation,10/3/19
19936154,Alameda,T,orientation,10/15/19
30677403,Marin,T,background check,9/28/19
68565613,Alameda,C,application,8/26/19
95132855,Contra Costa,C,background check,10/9/19
83160140,Alameda,C,application,9/21/19
13229608,Santa Clara,T,first delivery complete,12/20/19
97746692,Alameda,C,card issued,9/24/19
48428663,San Mateo,C,application,9/10/19
17929122,Contra Costa,C,application,8/25/19
68581930,Contra Costa,C,application,9/13/19
74409310,Contra Costa,C,application,9/9/19
72577169,San Francisco,T,background check,9/24/19
56873617,Marin,C,first delivery complete,12/4/19
72434444,Contra Costa,T,application,8/28/19
97406903,Marin,C,orientation,11/7/19
65442185,San Mateo,C,application,8/26/19
30243301,San Francisco,T,application,9/2/19
90484553,Santa Clara,C,card issued,9/27/19
75809684,Marin,C,application,8/25/19
83440668,San Francisco,C,background check,9/7/19
48278410,Contra Costa,C,application,8/31/19
40288835,Marin,C,application,9/7/19
74459086,Contra Costa,T,application,9/10/19
97835598,Contra Costa,C,first delivery complete,10/18/19
16603041,Santa Clara,T,background check,8/28/19
82785182,San Francisco,C,first delivery complete,10/6/19
55559012,Contra Costa,C,card issued,10/7/19
64598992,Contra Costa,C,background check,9/9/19
27623225,Alameda,C,background check,9/1/19
32879057,San Francisco,T,application,8/31/19
94657149,Alameda,C,first delivery complete,10/13/19
37647596,Contra Costa,C,application,8/26/19
97503212,San Francisco,T,card issued,10/18/19
92130685,Alameda,C,application,9/10/19
20408560,Contra Costa,T,card issued,10/22/19
54864963,Contra Costa,T,background check,9/7/19
45158357,San Francisco,T,background check,10/12/19
46451129,Alameda,C,orientation,10/24/19
71003713,Contra Costa,C,application,9/17/19
79321822,San Francisco,C,application,9/13/19
36651164,San Francisco,C,application,9/4/19
47896071,Alameda,C,application,9/17/19
53617474,Contra Costa,T,application,9/14/19
58599173,Marin,C,card issued,10/28/19
51780556,Alameda,T,first delivery complete,11/29/19
35809789,Santa Clara,C,application,9/7/19
65193279,Contra Costa,C,background check,9/28/19
18608598,Alameda,C,card issued,11/8/19
13930770,San Mateo,T,card issued,10/1/19
61026128,Marin,C,application,8/26/19
99913929,Alameda,C,orientation,11/9/19
35070766,San Francisco,T,application,8/26/19
35972003,San Francisco,C,orientation,10/4/19
16121392,San Mateo,C,application,9/14/19
84827818,Marin,C,application,8/28/19
18830706,Santa Clara,C,application,9/14/19
24333857,San Francisco,T,orientation,10/29/19
21432834,Alameda,C,first delivery complete,11/12/19
22296548,San Francisco,C,background check,9/17/19
22830386,Marin,T,background check,9/22/19
53859964,Alameda,C,application,9/16/19
48339631,San Mateo,T,card issued,10/11/19
74352058,Contra Costa,C,background check,9/22/19
81118325,Contra Costa,T,card issued,10/7/19
77384222,San Mateo,T,application,9/21/19
74295328,Alameda,T,orientation,9/27/19
10579793,Santa Clara,C,first delivery complete,10/28/19
35473424,Marin,C,card issued,10/7/19
13480623,Santa Clara,C,application,8/31/19
94021285,Alameda,C,background check,9/21/19
28451554,Marin,T,card issued,10/19/19
93551650,Marin,C,card issued,10/27/19
96198654,Alameda,C,card issued,10/9/19
77780313,San Mateo,T,first delivery complete,12/3/19
15594232,Santa Clara,C,application,9/13/19
29707458,Santa Clara,C,card issued,10/11/19
61451859,Contra Costa,T,background check,9/3/19
69600286,Contra Costa,T,application,8/28/19
97031254,Santa Clara,T,orientation,10/8/19
16502751,Marin,C,orientation,10/25/19
68186628,Contra Costa,C,application,9/5/19
67238920,Marin,T,background check,9/11/19
83978559,Alameda,C,card issued,11/7/19
27378236,Alameda,C,orientation,10/12/19
43488797,San Mateo,T,card issued,10/14/19
95413989,Santa Clara,T,background check,9/5/19
32294452,Marin,C,application,9/16/19
94540688,Marin,C,first delivery complete,9/28/19
88331884,Marin,C,background check,9/21/19
61151034,Contra Costa,T,background check,9/18/19
34843210,Contra Costa,C,application,9/15/19
53330439,Marin,C,background check,9/27/19
27378236,Alameda,C,background check,9/12/19
37699773,Alameda,T,application,8/24/19
42637629,San Mateo,C,application,8/28/19
36626166,Contra Costa,C,background check,9/21/19
13572980,Contra Costa,T,background check,9/7/19
11973182,Contra Costa,C,application,9/2/19
15478662,Marin,C,orientation,10/25/19
97074740,Marin,T,background check,8/31/19
99767688,Marin,C,application,9/21/19
49239160,Alameda,T,application,8/29/19
11100275,Marin,C,first delivery complete,10/31/19
87922031,Alameda,C,card issued,9/17/19
96686762,Contra Costa,T,background check,9/23/19
84120539,Alameda,T,card issued,10/1/19
57167108,Santa Clara,T,background check,9/15/19
32197302,Santa Clara,C,background check,9/15/19
32294452,Marin,C,card issued,10/28/19
64890417,Marin,C,card issued,9/26/19
10191163,San Francisco,C,application,8/24/19
52196565,Alameda,T,orientation,10/10/19
10894953,Santa Clara,C,application,8/29/19
15294445,Alameda,C,first delivery complete,10/17/19
25947592,Alameda,C,orientation,11/29/19
65866965,San Francisco,C,card issued,9/4/19
68745965,Alameda,C,application,9/22/19
65046869,Alameda,C,orientation,10/7/19
79490533,Alameda,T,application,8/30/19
35730276,Alameda,C,first delivery complete,12/7/19
35498201,Contra Costa,C,application,9/10/19
81407586,San Mateo,C,application,9/10/19
89755364,Santa Clara,C,application,9/12/19
53112458,Alameda,T,background check,9/28/19
24341760,San Mateo,T,orientation,11/8/19
62670040,San Francisco,C,background check,9/18/19
97172868,San Mateo,C,first delivery complete,11/2/19
18910266,Marin,C,card issued,9/22/19
26101712,San Mateo,T,application,9/6/19
42090130,Marin,C,first delivery complete,10/8/19
78245766,San Francisco,T,application,8/25/19
76902119,Marin,T,background check,9/18/19
85945074,Santa Clara,C,first delivery complete,11/16/19
57505915,Santa Clara,T,card issued,9/30/19
88572504,Alameda,T,card issued,10/16/19
38021614,Alameda,C,application,9/9/19
47583019,Contra Costa,T,application,9/18/19
59902904,Santa Clara,C,first delivery complete,11/2/19
42620237,San Mateo,T,card issued,11/6/19
15833053,Santa Clara,C,card issued,10/21/19
18741641,San Mateo,T,background check,9/19/19
48057736,San Francisco,T,orientation,9/2/19
93050043,Contra Costa,C,card issued,9/25/19
27330014,Santa Clara,T,first delivery complete,11/12/19
59170283,San Francisco,C,application,9/13/19
11229149,Contra Costa,C,application,9/1/19
78046736,Contra Costa,C,background check,9/24/19
41552352,Alameda,C,background check,9/20/19
78193923,San Francisco,T,application,8/24/19
96918868,Alameda,T,application,9/15/19
89718105,Alameda,C,application,9/13/19
36790790,Alameda,C,application,8/28/19
70930413,Alameda,C,application,8/30/19
79808972,Contra Costa,C,background check,9/16/19
10803145,San Francisco,T,card issued,10/14/19
26755674,Santa Clara,T,card issued,10/17/19
27370418,San Francisco,C,application,9/10/19
19492955,Santa Clara,C,orientation,11/11/19
32114249,Alameda,C,application,8/25/19
24011967,Marin,T,first delivery complete,11/12/19
52339915,Marin,C,application,9/21/19
17929122,Contra Costa,C,orientation,10/15/19
72297416,Marin,C,background check,9/11/19
26253347,San Mateo,T,background check,9/18/19
55414443,Marin,C,application,9/6/19
34611398,San Francisco,T,background check,9/7/19
53271737,San Mateo,T,background check,9/25/19
83194938,Santa Clara,C,orientation,10/27/19
96949626,San Mateo,T,background check,9/23/19
65851330,San Francisco,C,card issued,9/9/19
61834561,Marin,C,card issued,10/7/19
89103837,Contra Costa,C,card issued,10/2/19
19819431,Alameda,C,orientation,10/11/19
86905904,Contra Costa,T,background check,9/8/19
88878629,Alameda,C,card issued,10/5/19
45057080,Marin,T,first delivery complete,11/11/19
49353697,Contra Costa,C,application,9/2/19
85145049,San Mateo,T,background check,9/21/19
93950845,San Mateo,T,background check,9/8/19
27864228,Alameda,C,orientation,10/23/19
28859217,San Mateo,T,application,9/21/19
91148074,San Francisco,T,application,9/5/19
46392079,San Francisco,C,background check,9/30/19
89393134,Alameda,T,application,9/9/19
76766621,Santa Clara,T,background check,9/23/19
64120158,Santa Clara,C,card issued,10/17/19
51616402,Marin,C,first delivery complete,10/24/19
39822758,Contra Costa,C,background check,10/4/19
76618109,Marin,C,application,9/18/19
93770952,Contra Costa,T,card issued,10/2/19
58439136,Marin,C,orientation,11/1/19
39549790,Contra Costa,T,application,9/7/19
38065207,San Francisco,T,application,8/24/19
64127848,Santa Clara,C,application,9/6/19
21230561,Alameda,C,application,9/11/19
97558928,Marin,C,card issued,11/5/19
20286452,Contra Costa,C,background check,9/22/19
93590463,Contra Costa,C,orientation,11/11/19
19961219,Santa Clara,C,orientation,9/27/19
29328183,Marin,C,application,9/21/19
41932419,Alameda,T,first delivery complete,11/12/19
40167675,Santa Clara,C,application,9/3/19
37392889,Contra Costa,T,card issued,10/19/19
12165510,Alameda,T,application,9/3/19
85586804,Santa Clara,C,background check,9/12/19
72123268,San Mateo,C,background check,9/26/19
48603744,Marin,C,card issued,9/20/19
25606755,Marin,C,application,8/31/19
89644626,Alameda,C,application,9/13/19
29326253,Marin,C,first delivery complete,11/26/19
95192786,Contra Costa,C,background check,9/29/19
88141321,San Mateo,C,background check,9/16/19
71679659,Alameda,C,card issued,9/22/19
57551433,Alameda,C,orientation,10/15/19
60113243,Contra Costa,C,background check,9/1/19
87831166,Contra Costa,C,application,9/13/19
51402672,Alameda,C,background check,9/27/19
87192086,Marin,C,background check,9/21/19
32620054,Marin,C,background check,9/13/19
37220130,Alameda,C,first delivery complete,11/7/19
30622373,San Francisco,T,card issued,9/22/19
94389560,Alameda,C,first delivery complete,11/8/19
13455027,Contra Costa,C,card issued,9/19/19
79393010,Alameda,T,card issued,10/5/19
45706291,Santa Clara,T,application,9/9/19
47825221,Santa Clara,C,orientation,9/30/19
50663354,San Francisco,C,background check,9/1/19
54836041,Santa Clara,C,card issued,9/10/19
52805328,San Francisco,T,background check,9/18/19
93614683,Contra Costa,C,application,9/2/19
92577332,San Mateo,T,card issued,10/23/19
75008088,Alameda,C,background check,10/10/19
54240665,Marin,C,orientation,10/1/19
57863832,San Mateo,T,card issued,9/27/19
14141269,Contra Costa,C,application,9/20/19
84615185,San Francisco,T,background check,9/7/19
94718830,Marin,C,application,9/7/19
81625255,Contra Costa,C,background check,10/6/19
63343929,Alameda,T,background check,10/2/19
87845502,Marin,C,orientation,11/8/19
57176355,Alameda,C,first delivery complete,11/10/19
36399713,San Francisco,C,orientation,11/3/19
96231480,Marin,C,orientation,10/6/19
11037460,Alameda,T,background check,10/6/19
98998088,Santa Clara,C,background check,9/23/19
58454271,Alameda,T,application,9/16/19
72239676,Alameda,C,orientation,11/3/19
53206324,Contra Costa,C,background check,9/14/19
67326847,Contra Costa,C,orientation,10/19/19
53258402,Alameda,T,background check,9/17/19
84852205,San Mateo,C,application,9/8/19
64612261,Marin,C,application,8/31/19
41552352,Alameda,C,orientation,10/12/19
11894661,San Mateo,C,background check,9/17/19
93491948,Contra Costa,T,application,9/9/19
97734449,Contra Costa,T,orientation,10/17/19
80191570,Marin,C,application,9/2/19
99072843,Santa Clara,C,application,9/18/19
25671072,Alameda,C,orientation,10/28/19
68819357,Marin,T,application,9/7/19
37564682,Alameda,C,card issued,10/11/19
71244733,Santa Clara,C,first delivery complete,10/27/19
25280231,Marin,C,first delivery complete,11/16/19
51823159,San Mateo,C,card issued,11/3/19
90847851,San Francisco,C,application,9/16/19
92549791,Alameda,C,card issued,9/24/19
56256946,Marin,C,orientation,10/17/19
65586025,Santa Clara,T,card issued,10/9/19
26979655,San Francisco,C,application,8/24/19
21882674,Alameda,C,application,8/27/19
48024604,Marin,C,application,8/29/19
14803258,Contra Costa,C,application,9/16/19
44313638,Marin,T,card issued,10/16/19
44224790,Alameda,T,card issued,10/3/19
41151214,Alameda,C,application,9/11/19
73178899,San Francisco,T,application,8/31/19
47964758,Santa Clara,T,first delivery complete,11/20/19
39673306,Contra Costa,C,background check,9/28/19
53282322,Contra Costa,T,background check,9/18/19
94695035,Contra Costa,C,card issued,9/23/19
75557063,Alameda,T,application,9/10/19
56955716,Santa Clara,C,application,8/28/19
90054606,Alameda,T,card issued,10/9/19
60779934,Contra Costa,T,application,9/21/19
25082611,Contra Costa,C,card issued,10/14/19
44022258,Contra Costa,C,background check,9/19/19
73275103,Marin,C,first delivery complete,11/14/19
72291863,San Francisco,T,application,9/4/19
35563034,San Francisco,T,background check,9/11/19
97148567,Marin,T,background check,10/16/19
26377699,Alameda,C,first delivery complete,10/27/19
66072221,Contra Costa,C,card issued,9/4/19
89743145,Santa Clara,T,application,9/17/19
21532624,Contra Costa,C,application,9/19/19
93790904,Contra Costa,C,background check,9/23/19
81541013,Santa Clara,T,card issued,10/27/19
40376033,San Mateo,T,card issued,9/22/19
14630260,Alameda,C,card issued,10/2/19
48947034,Contra Costa,C,card issued,10/17/19
60117079,San Francisco,T,card issued,10/5/19
17783681,Alameda,T,background check,9/9/19
65301212,Marin,T,background check,10/8/19
97148567,Marin,T,application,9/22/19
28570896,Santa Clara,C,application,8/30/19
58152468,Marin,C,orientation,10/31/19
44235941,Alameda,T,first delivery complete,10/23/19
53950811,Alameda,C,first delivery complete,11/12/19
16682533,San Francisco,T,orientation,11/21/19
75963412,Santa Clara,C,application,8/30/19
62844283,Marin,C,card issued,10/3/19
50663354,San Francisco,C,application,8/28/19
61834561,Marin,C,orientation,10/14/19
17006045,Santa Clara,T,background check,9/22/19
54021762,Alameda,C,background check,9/3/19
78475303,Santa Clara,C,background check,9/22/19
58107216,Contra Costa,T,background check,10/12/19
96648183,Santa Clara,C,orientation,11/25/19
35657270,Contra Costa,C,application,9/4/19
71464080,San Francisco,T,application,9/18/19
52420950,San Francisco,C,application,9/10/19
93583609,San Francisco,C,application,8/29/19
41651610,Marin,C,background check,9/25/19
89676815,San Mateo,C,background check,10/3/19
13380438,Marin,C,background check,9/17/19
14569035,San Francisco,C,application,9/18/19
59811894,Marin,C,first delivery complete,11/22/19
21842640,Alameda,C,card issued,9/28/19
20770158,Santa Clara,T,orientation,11/26/19
21286820,San Francisco,T,first delivery complete,9/21/19
71103480,San Francisco,C,card issued,10/16/19
64369982,Alameda,C,background check,9/13/19
23361079,Marin,T,background check,10/9/19
44060161,Contra Costa,T,card issued,10/4/19
64297706,Alameda,C,first delivery complete,12/2/19
74253134,Contra Costa,T,card issued,10/19/19
16517794,Santa Clara,T,first delivery complete,11/25/19
84266229,Contra Costa,T,background check,9/10/19
69522066,San Francisco,C,orientation,10/24/19
88330222,Alameda,T,card issued,9/19/19
94294731,San Francisco,C,card issued,10/30/19
56589725,Santa Clara,C,application,8/29/19
34843210,Contra Costa,C,card issued,10/6/19
42158795,Marin,T,application,9/15/19
16740247,San Francisco,T,orientation,10/7/19
25973186,San Mateo,C,background check,10/19/19
30582771,San Mateo,T,application,9/21/19
89812888,Santa Clara,C,application,9/14/19
62252428,Contra Costa,C,orientation,10/7/19
58653666,Marin,T,card issued,9/17/19
71954200,San Mateo,T,orientation,10/10/19
98343270,San Mateo,T,card issued,10/5/19
69044887,Alameda,C,card issued,10/6/19
48224696,San Mateo,T,application,9/18/19
80433947,Alameda,C,card issued,9/19/19
92910909,Marin,T,orientation,11/16/19
13271849,San Francisco,T,background check,9/16/19
53211997,Contra Costa,C,application,9/16/19
21865793,San Mateo,T,orientation,10/14/19
97795481,Santa Clara,C,application,9/22/19
74206953,San Francisco,C,application,8/25/19
51644592,Santa Clara,T,first delivery complete,11/19/19
41179524,Contra Costa,T,background check,9/30/19
82023622,San Francisco,T,orientation,11/7/19
73503042,Alameda,T,orientation,10/10/19
20956769,Santa Clara,C,background check,9/3/19
28040401,Contra Costa,C,card issued,9/21/19
26439908,Contra Costa,T,card issued,10/5/19
30305443,Marin,C,background check,9/12/19
63401678,Alameda,C,card issued,9/22/19
19084199,Santa Clara,T,application,9/17/19
99270239,San Mateo,T,first delivery complete,11/23/19
65899904,Alameda,C,orientation,10/18/19
32879057,San Francisco,T,orientation,9/28/19
74194475,Contra Costa,T,application,9/19/19
11399802,San Francisco,C,application,9/16/19
23541708,Contra Costa,C,card issued,11/3/19
53617474,Contra Costa,T,background check,9/21/19
65896244,Alameda,C,orientation,11/8/19
64752766,Alameda,C,application,8/31/19
40054543,Contra Costa,C,application,9/20/19
71608483,San Francisco,C,application,9/11/19
77297695,Santa Clara,C,application,9/5/19
57305332,San Mateo,C,application,9/8/19
24621228,Contra Costa,T,application,9/16/19
28208772,San Francisco,T,application,9/14/19
81202603,Marin,C,orientation,11/2/19
48017626,Santa Clara,C,application,9/3/19
18666655,Marin,C,background check,9/6/19
83837008,San Francisco,T,background check,9/11/19
32666083,Contra Costa,T,background check,9/1/19
49106650,San Francisco,T,application,9/4/19
25521921,San Francisco,C,orientation,10/15/19
93612562,Santa Clara,T,application,9/21/19
44339562,Contra Costa,T,application,8/26/19
93348536,Alameda,C,card issued,10/24/19
92276964,San Francisco,T,background check,9/24/19
89498137,Contra Costa,T,application,9/16/19
77669215,Alameda,C,application,9/20/19
69044887,Alameda,C,background check,9/14/19
42160590,Contra Costa,T,application,8/30/19
99215583,San Francisco,T,application,9/11/19
38217812,San Francisco,C,application,8/27/19
52315881,San Francisco,T,application,8/25/19
70568364,Santa Clara,C,application,9/20/19
48666737,Contra Costa,T,application,9/21/19
23798023,Marin,C,card issued,10/22/19
70418278,Alameda,C,card issued,9/5/19
62815054,Santa Clara,C,card issued,10/13/19
21361556,Santa Clara,T,orientation,10/23/19
96895548,Contra Costa,T,application,9/21/19
59461059,San Mateo,T,orientation,10/12/19
66923456,Marin,C,orientation,9/27/19
31534910,Contra Costa,T,card issued,10/20/19
64140650,Alameda,C,first delivery complete,10/6/19
98579805,Contra Costa,C,application,8/24/19
87159779,Contra Costa,C,background check,9/10/19
64627434,Marin,C,card issued,10/2/19
19091762,Santa Clara,C,card issued,10/4/19
15441506,Marin,C,application,9/1/19
53405084,Santa Clara,T,first delivery complete,10/27/19
57882472,Contra Costa,T,application,9/1/19
30294460,Contra Costa,C,background check,9/23/19
12173210,San Mateo,T,card issued,9/11/19
15346522,San Francisco,T,application,8/25/19
38976247,San Francisco,C,background check,9/20/19
76342890,Contra Costa,T,application,9/13/19
71688772,San Francisco,T,background check,9/15/19
98163169,Santa Clara,C,orientation,9/16/19
38252826,Contra Costa,T,orientation,10/9/19
85081501,Contra Costa,T,background check,9/28/19
82520724,San Francisco,T,background check,9/27/19
86734389,Marin,C,application,9/14/19
35957412,Contra Costa,C,orientation,11/11/19
27809386,Santa Clara,C,background check,8/26/19
69280032,Marin,C,application,9/6/19
78273001,Santa Clara,C,first delivery complete,10/29/19
58994128,Santa Clara,C,orientation,10/20/19
43428142,San Francisco,T,orientation,11/9/19
69690134,San Mateo,C,background check,9/30/19
95292556,Alameda,C,background check,9/22/19
43278402,Marin,C,orientation,11/6/19
84167985,San Francisco,C,application,9/20/19
24838808,Contra Costa,T,application,8/27/19
49820026,Contra Costa,C,card issued,9/25/19
97804072,Santa Clara,C,application,8/24/19
31852261,Santa Clara,C,application,9/17/19
99532164,Santa Clara,C,first delivery complete,10/27/19
94090065,Contra Costa,T,background check,10/7/19
76858583,Marin,C,first delivery complete,11/5/19
56337757,Contra Costa,T,application,9/18/19
92221479,Alameda,C,application,9/12/19
16501791,Santa Clara,T,card issued,8/30/19
73655372,Contra Costa,C,orientation,10/31/19
83471611,Alameda,T,application,9/8/19
56418658,Alameda,C,background check,9/26/19
25052888,Marin,C,background check,9/12/19
32866128,Marin,C,application,9/17/19
52654947,San Mateo,C,application,9/9/19
73065621,Contra Costa,T,first delivery complete,10/19/19
59793087,Alameda,T,application,9/3/19
74783194,Santa Clara,T,orientation,9/14/19
70354029,San Francisco,C,orientation,10/23/19
65923227,Alameda,T,application,9/18/19
58319152,San Mateo,T,first delivery complete,11/14/19
77891425,Santa Clara,C,background check,9/21/19
37589646,Marin,C,application,9/12/19
23900415,Contra Costa,C,card issued,10/10/19
46056753,Contra Costa,T,application,9/15/19
71447894,Marin,C,background check,10/21/19
79374009,Santa Clara,T,application,8/30/19
46451129,Alameda,C,application,9/9/19
84990198,San Mateo,T,application,9/5/19
58599173,Marin,C,application,9/20/19
93219085,Alameda,C,first delivery complete,11/17/19
64951183,Alameda,C,card issued,10/5/19
25922020,Contra Costa,C,background check,9/17/19
34951850,Contra Costa,C,application,9/22/19
85747960,Santa Clara,C,orientation,11/1/19
22347355,Marin,C,background check,9/16/19
40347442,Contra Costa,T,application,9/21/19
63105982,Alameda,T,first delivery complete,11/21/19
80338852,Santa Clara,T,application,9/18/19
16743527,Contra Costa,T,application,9/18/19
98379862,Contra Costa,C,orientation,10/31/19
72992399,Marin,C,application,8/24/19
87255352,Santa Clara,T,orientation,10/25/19
91725395,Contra Costa,T,background check,10/8/19
24341760,San Mateo,T,card issued,11/5/19
10547087,Marin,T,first delivery complete,11/8/19
29709793,San Francisco,T,first delivery complete,11/26/19
74459086,Contra Costa,T,orientation,11/8/19
44284166,Santa Clara,T,background check,9/11/19
84944476,Marin,C,first delivery complete,11/4/19
57166890,Contra Costa,T,orientation,11/20/19
99240621,Contra Costa,C,application,8/27/19
95822690,Marin,T,orientation,10/26/19
70967482,Contra Costa,C,application,9/13/19
13318638,San Francisco,T,card issued,10/11/19
78533572,San Mateo,C,application,9/5/19
98546527,Alameda,C,orientation,9/19/19
85165382,Alameda,C,first delivery complete,11/12/19
75413856,Marin,C,orientation,9/27/19
39999970,Alameda,C,application,9/16/19
78258929,Alameda,C,orientation,10/14/19
41755702,Contra Costa,C,background check,9/6/19
88750936,Marin,C,card issued,10/17/19
19418704,Marin,C,card issued,9/13/19
88875052,Alameda,C,background check,10/6/19
54117180,Santa Clara,C,first delivery complete,11/16/19
46549012,Marin,T,card issued,10/20/19
68859915,San Francisco,C,card issued,10/16/19
82776032,San Mateo,T,card issued,10/18/19
60730704,Santa Clara,T,application,9/9/19
58088996,Alameda,T,first delivery complete,10/26/19
70632621,Alameda,C,application,9/19/19
50434357,Santa Clara,C,first delivery complete,11/3/19
68879570,Contra Costa,C,card issued,9/24/19
17862671,Contra Costa,C,application,9/20/19
33332459,Alameda,C,background check,9/30/19
49245797,Santa Clara,C,background check,9/16/19
80045444,Santa Clara,C,background check,9/21/19
57366582,Marin,C,orientation,11/13/19
32978408,Santa Clara,C,first delivery complete,10/26/19
13325590,Marin,C,card issued,10/23/19
23285636,Contra Costa,T,application,8/23/19
73353641,Alameda,T,application,9/9/19
88652770,San Mateo,T,first delivery complete,11/2/19
11883007,Alameda,T,application,9/2/19
56000231,Marin,T,background check,8/30/19
94392988,Santa Clara,T,orientation,9/29/19
74699523,San Francisco,T,card issued,10/16/19
36291921,San Mateo,C,background check,9/8/19
91065269,Marin,C,application,8/28/19
97347498,Alameda,T,application,8/23/19
41408226,Marin,T,orientation,10/23/19
11411051,Santa Clara,T,card issued,10/15/19
11655113,San Francisco,C,orientation,10/19/19
89782454,Contra Costa,T,application,9/11/19
39331929,San Mateo,T,first delivery complete,12/17/19
79034627,Contra Costa,T,card issued,11/7/19
67412378,San Francisco,T,card issued,10/19/19
26661417,San Mateo,T,orientation,11/1/19
50359395,Marin,C,orientation,10/22/19
97142903,Marin,C,card issued,10/16/19
22135401,Marin,C,background check,9/4/19
54128338,San Francisco,T,orientation,10/27/19
21343211,Marin,C,background check,10/1/19
17819597,San Francisco,C,application,8/29/19
78172683,Santa Clara,C,background check,9/19/19
70431591,Santa Clara,C,background check,9/18/19
75716938,Alameda,C,card issued,9/28/19
90553062,Contra Costa,T,background check,10/9/19
93449190,Contra Costa,C,application,9/12/19
93795604,San Mateo,C,application,8/27/19
44114686,San Mateo,C,card issued,10/2/19
20857881,San Mateo,C,card issued,9/27/19
73665504,Contra Costa,T,application,9/16/19
79017427,San Francisco,T,application,9/17/19
38629640,Contra Costa,T,card issued,10/1/19
20952369,Alameda,C,orientation,11/7/19
73503042,Alameda,T,card issued,10/7/19
63667336,San Mateo,T,application,8/25/19
22284823,Santa Clara,T,application,9/19/19
33798218,Alameda,C,orientation,10/12/19
18363653,Contra Costa,C,orientation,10/2/19
36572236,Alameda,C,application,9/1/19
84773565,Contra Costa,C,first delivery complete,10/7/19
26480557,Marin,C,application,9/10/19
74915822,Alameda,T,application,9/7/19
23251215,Santa Clara,T,first delivery complete,11/6/19
80226020,Contra Costa,C,background check,10/6/19
79203051,Santa Clara,C,background check,9/25/19
81549570,Santa Clara,T,background check,9/23/19
28624898,Contra Costa,T,application,9/8/19
25211664,San Francisco,T,background check,8/26/19
62518325,San Mateo,T,application,9/21/19
54749644,Santa Clara,C,first delivery complete,10/20/19
48885163,Alameda,C,orientation,11/18/19
55009409,San Francisco,C,card issued,10/15/19
17023577,San Mateo,T,first delivery complete,11/22/19
15663310,Santa Clara,C,background check,9/8/19
18973878,Alameda,C,card issued,10/7/19
41715027,Alameda,C,orientation,9/20/19
26485641,San Francisco,C,background check,9/7/19
92064242,San Francisco,T,orientation,9/27/19
71395913,Alameda,C,first delivery complete,11/12/19
13749132,San Francisco,T,application,9/1/19
31211786,Marin,T,application,9/5/19
34563858,San Mateo,T,background check,10/10/19
67673218,Marin,C,first delivery complete,11/23/19
39705155,San Francisco,T,background check,9/10/19
48428663,San Mateo,C,first delivery complete,10/27/19
88820636,Contra Costa,T,first delivery complete,11/7/19
74240679,Santa Clara,T,application,8/28/19
55952623,Alameda,T,orientation,10/30/19
37014832,San Mateo,C,orientation,10/13/19
28306143,Contra Costa,C,application,9/2/19
63376772,Alameda,C,first delivery complete,10/29/19
67664146,San Francisco,T,background check,9/18/19
